Intensive_Care_Unit_III_Cardiac_Surgery|n_sim:10000|tl_rate:0.5	Intensive_Care_Unit_I_Inpatients|n_sim:10000|tl_rate:0.5	Intensive_Care_Unit_c/o_Infectious_Diseases|n_sim:10000|tl_rate:0.5	ICU_cardiac/ICU_Inpatients/ICU_infectious_disease(merged)|n_sim:10000|tl_rate:0.5	Every_ward|n_sim:10000|tl_rate:0.5
80.0	20.0	60.0	37.5	32.0
60.0	40.0	80.0	75.0	52.0
60.0	40.0	40.0	66.7	52.0
40.0	40.0	0.0	41.7	52.0
80.0	20.0	20.0	62.5	36.0
70.0	60.0	80.0	45.8	32.0
60.0	70.0	20.0	54.2	40.0
50.0	80.0	60.0	66.7	44.0
50.0	70.0	60.0	54.2	44.0
60.0	30.0	40.0	62.5	36.0
70.0	40.0	40.0	45.8	36.0
70.0	40.0	60.0	54.2	52.0
60.0	40.0	80.0	54.2	48.0
70.0	50.0	60.0	41.7	64.0
80.0	30.0	40.0	50.0	48.0
80.0	70.0	40.0	25.0	48.0
80.0	60.0	20.0	45.8	60.0
80.0	50.0	20.0	54.2	52.0
80.0	60.0	80.0	50.0	60.0
60.0	40.0	80.0	62.5	44.0
60.0	70.0	20.0	50.0	52.0
90.0	80.0	20.0	33.3	40.0
100.0	50.0	40.0	66.7	72.0
60.0	40.0	20.0	33.3	48.0
80.0	60.0	80.0	41.7	64.0
70.0	50.0	40.0	45.8	36.0
60.0	50.0	40.0	54.2	44.0
60.0	60.0	20.0	66.7	52.0
80.0	60.0	40.0	54.2	48.0
80.0	30.0	60.0	45.8	52.0
80.0	30.0	100.0	50.0	52.0
70.0	80.0	40.0	50.0	60.0
60.0	40.0	40.0	45.8	60.0
70.0	50.0	60.0	54.2	56.0
80.0	60.0	80.0	45.8	40.0
70.0	30.0	80.0	58.3	68.0
90.0	40.0	80.0	45.8	40.0
40.0	60.0	40.0	54.2	56.0
60.0	40.0	40.0	33.3	52.0
60.0	30.0	80.0	50.0	56.0
40.0	50.0	60.0	83.3	68.0
60.0	40.0	20.0	37.5	60.0
80.0	40.0	20.0	33.3	32.0
80.0	30.0	40.0	45.8	48.0
70.0	60.0	20.0	45.8	56.0
50.0	40.0	60.0	58.3	60.0
70.0	30.0	80.0	54.2	60.0
80.0	50.0	60.0	50.0	52.0
50.0	40.0	20.0	62.5	52.0
60.0	20.0	60.0	66.7	40.0
70.0	40.0	60.0	66.7	44.0
